,pointForecast,positionType,product_name,strategy_name,forecastDay,forecastDiff,maDiff,percDiff,retScore
0,61.453846233540915,short,XRT,arma_ma,1,-0.2362402104916086,-0.10347312927245866,-0.3725011310506276,11.730346491638501
1,61.411392387241676,short,XRT,arma_ma,2,-0.2362402104916086,-0.10347312927245866,-0.3725011310506276,11.730346491638501
2,61.36480974810223,short,XRT,arma_ma,3,-0.2362402104916086,-0.10347312927245866,-0.3725011310506276,11.730346491638501
3,61.31947144408837,short,XRT,arma_ma,4,-0.2362402104916086,-0.10347312927245866,-0.3725011310506276,11.730346491638501
4,61.273758111041595,short,XRT,arma_ma,5,-0.2362402104916086,-0.10347312927245866,-0.3725011310506276,11.730346491638501
0,31.973951042388805,short,XLF,arma_ma,1,-0.09031004152740252,-0.07783824920654325,-0.2809021376086347,5.340323727689089
1,31.955329182941636,short,XLF,arma_ma,2,-0.09031004152740252,-0.07783824920654325,-0.2809021376086347,5.340323727689089
2,31.936784207164337,short,XLF,arma_ma,3,-0.09031004152740252,-0.07783824920654325,-0.2809021376086347,5.340323727689089
3,31.918236934054725,short,XLF,arma_ma,4,-0.09031004152740252,-0.07783824920654325,-0.2809021376086347,5.340323727689089
4,31.89968972959076,short,XLF,arma_ma,5,-0.09031004152740252,-0.07783824920654325,-0.2809021376086347,5.340323727689089
0,84.98887373234837,no_position,XLE,arma_ma,1,0.18915632146199357,-0.08695465087890852,0.2283669169147295,8.197790145688856
1,84.94160336775602,no_position,XLE,arma_ma,2,0.18915632146199357,-0.08695465087890852,0.2283669169147295,8.197790145688856
2,85.16070807431039,no_position,XLE,arma_ma,3,0.18915632146199357,-0.08695465087890852,0.2283669169147295,8.197790145688856
3,85.07134332714838,no_position,XLE,arma_ma,4,0.18915632146199357,-0.08695465087890852,0.2283669169147295,8.197790145688856
4,85.16915967839559,no_position,XLE,arma_ma,5,0.18915632146199357,-0.08695465087890852,0.2283669169147295,8.197790145688856
0,69.7968637235416,no_position,XLU,arma_ma,1,-0.06567410410394814,0.03304718017577102,-0.0970218669452655,4.612055846566079
1,69.78372865627979,no_position,XLU,arma_ma,2,-0.06567410410394814,0.03304718017577102,-0.0970218669452655,4.612055846566079
2,69.77059358901646,no_position,XLU,arma_ma,3,-0.06567410410394814,0.03304718017577102,-0.0970218669452655,4.612055846566079
3,69.75745852175314,no_position,XLU,arma_ma,4,-0.06567410410394814,0.03304718017577102,-0.0970218669452655,4.612055846566079
4,69.7443234544898,no_position,XLU,arma_ma,5,-0.06567410410394814,0.03304718017577102,-0.0970218669452655,4.612055846566079
0,97.76567445609425,short,XLI,arma_ma,1,-0.021610730437075176,-0.039813995361328125,-0.02135869773857838,1.435533358097655
1,97.76135232022799,short,XLI,arma_ma,2,-0.021610730437075176,-0.039813995361328125,-0.02135869773857838,1.435533358097655
2,97.75703018436177,short,XLI,arma_ma,3,-0.021610730437075176,-0.039813995361328125,-0.02135869773857838,1.435533358097655
