,pointForecast,positionType,product_name,strategy_name,forecastDay,forecastDiff,maDiff,percDiff,retScore
0,63.28870658075991,no_position,XRT,arma_ma,1,-0.2990193332742024,0.0020982360839809644,-0.4949831717091322,14.844828479101057
1,63.26372345880751,no_position,XRT,arma_ma,2,-0.2990193332742024,0.0020982360839809644,-0.4949831717091322,14.844828479101057
2,63.21230788301708,no_position,XRT,arma_ma,3,-0.2990193332742024,0.0020982360839809644,-0.4949831717091322,14.844828479101057
3,63.167459279987284,no_position,XRT,arma_ma,4,-0.2990193332742024,0.0020982360839809644,-0.4949831717091322,14.844828479101057
4,63.12097883567111,no_position,XRT,arma_ma,5,-0.2990193332742024,0.0020982360839809644,-0.4949831717091322,14.844828479101057
0,32.13437923802868,short,XLF,arma_ma,1,-0.10658179570628334,-0.04956268310547074,-0.33921640817148874,6.297553990374598
1,32.11155272918421,short,XLF,arma_ma,2,-0.10658179570628334,-0.04956268310547074,-0.33921640817148874,6.297553990374598
2,32.088842981009655,short,XLF,arma_ma,3,-0.10658179570628334,-0.04956268310547074,-0.33921640817148874,6.297553990374598
3,32.06613134025266,short,XLF,arma_ma,4,-0.10658179570628334,-0.04956268310547074,-0.33921640817148874,6.297553990374598
4,32.04341973017262,short,XLF,arma_ma,5,-0.10658179570628334,-0.04956268310547074,-0.33921640817148874,6.297553990374598
0,82.87579503105154,no_position,XLE,arma_ma,1,0.18411717373058423,-0.11669296264649631,0.2314483553329239,7.9927376204998355
1,82.90759684790903,no_position,XLE,arma_ma,2,0.18411717373058423,-0.11669296264649631,0.2314483553329239,7.9927376204998355
2,82.94304256311419,no_position,XLE,arma_ma,3,0.18411717373058423,-0.11669296264649631,0.2314483553329239,7.9927376204998355
3,82.97858750634188,no_position,XLE,arma_ma,4,0.18411717373058423,-0.11669296264649631,0.2314483553329239,7.9927376204998355
4,83.01411900478527,no_position,XLE,arma_ma,5,0.18411717373058423,-0.11669296264649631,0.2314483553329239,7.9927376204998355
0,67.67201247157955,short,XLU,arma_ma,1,-0.08995201132965747,-0.012529296875001705,-0.13676754739372543,6.327267949521824
1,67.65402196120402,short,XLU,arma_ma,2,-0.08995201132965747,-0.012529296875001705,-0.13676754739372543,6.327267949521824
2,67.63603145082821,short,XLU,arma_ma,3,-0.08995201132965747,-0.012529296875001705,-0.13676754739372543,6.327267949521824
